vector length,reduce-sim,reduce,broadcast-sim,bcast-totemp,bcast-tomem
1,4623,6335.5,1040,1220.5,1220.5
2,4624,6335.5,1041,1220.5,1220.5
4,4626,6338.5,1043,1223.5,1223.5
8,4630,6341.5,1047,1226.5,1226.5
16,4638,6350.5,1081.5,1244.5,1235.5
32,4654,6368.5,1147.5,1289,1253.5
64,4686,6404.5,1275.5,1385,1289.5
128,4750,6476.5,1531.5,1577,1361.5
256,4878,6620.5,2043.5,1961,1500.5
512,5134,6908.5,3067.5,2729,1793.5
1024,5646,7511.5,5115.5,4265,2369.5
2048,6670,8636.5,9211.5,7337,3521.5
4096,8718,10940.5,0,13481,5825.5
