name,artifact_dir,nrows,ncols,matrix_nrows,matrix_ncols,nnz_max_capacity,max_time,min_time,max_chain_time,min_chain_time,passed,status,failed_step,error_type,returncode,saved_make_log,cli_tail
matrix_2097152rows_16nnzperrow_64,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_2097152rows_16nnzperrow_64_cache,,,,,,,,,,,skipped,,,,,
matrix_2097152rows_64nnzperrow_64,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_2097152rows_64nnzperrow_64_cache,,,,,,,,,,,skipped,,,,,
matrix_2097152rows_16nnzperrow_128,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_2097152rows_16nnzperrow_128_cache,,,,,,,,,,,skipped,,,,,
matrix_2097152rows_64nnzperrow_128,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_2097152rows_64nnzperrow_128_cache,,,,,,,,,,,skipped,,,,,
matrix_2097152rows_16nnzperrow_256,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_2097152rows_16nnzperrow_256_cache,256,256,2097152,2097152,613,,,,,,error,make,nonzero_exit,2,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/005_matrix_2097152rows_16nnzperrow_256_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:00.78 FAIL smoke [ NROWS=256 XPERCOL=8192 NCOLS=256 ROWSPERPE=8192 NNZ_CAPACITY=613 MATRIX_NNZ=33554432 MIN_NNZ=407 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
matrix_2097152rows_64nnzperrow_256,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_2097152rows_64nnzperrow_256_cache,256,256,2097152,2097152,2252,,,,,,error,make,nonzero_exit,2,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/006_matrix_2097152rows_64nnzperrow_256_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:01.05 FAIL smoke [ NROWS=256 XPERCOL=8192 NCOLS=256 ROWSPERPE=8192 NNZ_CAPACITY=2252 MATRIX_NNZ=134217728 MIN_NNZ=1843 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
matrix_524288rows_16nnzperrow_64,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_524288rows_16nnzperrow_64_cache,64,64,524288,524288,2218,,,,,,error,make,nonzero_exit,2,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/007_matrix_524288rows_16nnzperrow_64_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:00.77 FAIL smoke [ NROWS=64 XPERCOL=8192 NCOLS=64 ROWSPERPE=8192 NNZ_CAPACITY=2218 MATRIX_NNZ=8388608 MIN_NNZ=1887 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
matrix_524288rows_256nnzperrow_64,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_524288rows_256nnzperrow_64_cache,,,,,,,,,,,skipped,,,,,
matrix_524288rows_64nnzperrow_64,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_524288rows_64nnzperrow_64_cache,64,64,524288,524288,8509,,,,,,error,make,nonzero_exit,2,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/009_matrix_524288rows_64nnzperrow_64_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:00.87 FAIL smoke [ NROWS=64 XPERCOL=8192 NCOLS=64 ROWSPERPE=8192 NNZ_CAPACITY=8509 MATRIX_NNZ=33554432 MIN_NNZ=7878 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
matrix_2097152rows_16nnzperrow_384,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_2097152rows_16nnzperrow_384_cache,384,384,2097152,2097152,305,,,,,,error,make,nonzero_exit,2,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/010_matrix_2097152rows_16nnzperrow_384_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:03.41 FAIL smoke [ NROWS=384 XPERCOL=5462 NCOLS=384 ROWSPERPE=5462 NNZ_CAPACITY=305 MATRIX_NNZ=33554432 MIN_NNZ=166 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
matrix_2097152rows_64nnzperrow_384,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_2097152rows_64nnzperrow_384_cache,384,384,2097152,2097152,1056,,,,,,error,make,nonzero_exit,2,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/011_matrix_2097152rows_64nnzperrow_384_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:00.80 FAIL smoke [ NROWS=384 XPERCOL=5462 NCOLS=384 ROWSPERPE=5462 NNZ_CAPACITY=1056 MATRIX_NNZ=134217728 MIN_NNZ=781 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
matrix_2097152rows_16nnzperrow_512,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_2097152rows_16nnzperrow_512_cache,512,512,2097152,2097152,189,,,,,,error,make,nonzero_exit,2,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/012_matrix_2097152rows_16nnzperrow_512_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:03.69 FAIL smoke [ NROWS=512 XPERCOL=4096 NCOLS=512 ROWSPERPE=4096 NNZ_CAPACITY=189 MATRIX_NNZ=33554432 MIN_NNZ=80 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
matrix_2097152rows_64nnzperrow_512,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_2097152rows_64nnzperrow_512_cache,512,512,2097152,2097152,613,,,,,,error,make,nonzero_exit,2,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/013_matrix_2097152rows_64nnzperrow_512_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:24.98 FAIL smoke [ NROWS=512 XPERCOL=4096 NCOLS=512 ROWSPERPE=4096 NNZ_CAPACITY=613 MATRIX_NNZ=134217728 MIN_NNZ=409 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
matrix_524288rows_16nnzperrow_128,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_524288rows_16nnzperrow_128_cache,128,128,524288,524288,601,,,,,,error,make,nonzero_exit,2,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/014_matrix_524288rows_16nnzperrow_128_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:03.52 FAIL smoke [ NROWS=128 XPERCOL=4096 NCOLS=128 ROWSPERPE=4096 NNZ_CAPACITY=601 MATRIX_NNZ=8388608 MIN_NNZ=417 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
