name,artifact_dir,nrows,ncols,matrix_nrows,matrix_ncols,nnz_max_capacity,max_time,min_time,max_chain_time,min_chain_time,passed,status,failed_step,error_type,returncode,saved_make_log,cli_tail
4194304nnz_1048576rows.512,/home/maytayl/matrices/cache/4194304nnz_1048576rows.512,512,512,1048576,1048576,36,12886.0,12508.0,898.0,82.0,True,ok,,,,,
131072rows-.001density.512,/home/maytayl/matrices/cache/131072rows-.001density.512,512,512,131072,131072,104,10395.0,9726.0,2530.0,826.0,True,ok,,,,,
65536rows-.01density.512,/home/maytayl/matrices/cache/1percent_s.512,512,512,65536,65536,223,12897.0,11912.0,5386.0,2578.0,True,ok,,,,,
8192rows-.0001density.512,/home/maytayl/matrices/cache/8192rows-.0001den.512,512,512,8192,8192,3,7656.0,7605.0,106.0,33.0,True,ok,,,,,
4194304nnz_1048576rows.256,/home/maytayl/matrices/cache/4194304nnz_1048576rows.256,256,256,1048576,1048576,99,15309.0,14595.0,2410.0,874.0,True,ok,,,,,
131072rows-.001density.256,/home/maytayl/matrices/cache/131072rows-.001density.256,256,256,131072,131072,333,12517.0,11456.0,8026.0,4762.0,True,ok,,,,,
65536rows-.01density.256,/home/maytayl/matrices/cache/1percent_s1.00.256,256,256,65536,65536,771,21903.0,20211.0,18538.0,13138.0,True,ok,,,,,
8192rows-.0001density.256,/home/maytayl/matrices/cache/8192rows-.0001density.256,256,256,8192,8192,3,3935.0,2518.0,106.0,33.0,True,ok,,,,,
4194304nnz_1048576rows.128,/home/maytayl/matrices/cache/4194304nnz_1048576rows.128,128,128,1048576,1048576,325,,,,,,error,make,nonzero_exit,2,/home/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/009_4194304nnz_1048576rows.128_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:00.80 FAIL smoke [ NROWS=128 XPERCOL=8192 NCOLS=128 ROWSPERPE=8192 NNZ_CAPACITY=325 MATRIX_NNZ=4194304 MIN_NNZ=201 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
131072rows-.001density.128,/home/maytayl/matrices/cache/131072rows-.001density.128,128,128,131072,131072,1175,32084.0,30178.0,28234.0,22210.0,True,ok,,,,,
65536rows-.01density.128,/home/maytayl/matrices/cache/1percent_s1.00.128,128,128,65536,65536,2833,70428.0,67433.0,68026.0,58330.0,True,ok,,,,,
8192rows-.0001density.128,/home/maytayl/matrices/cache/8192rows-.0001density.128,128,128,8192,8192,5,2128.0,1399.0,154.0,33.0,True,ok,,,,,
4194304nnz_1048576rows.64,/home/maytayl/matrices/cache/4194304nnz_1048576rows.64,64,64,1048576,1048576,1145,,,,,,error,make,nonzero_exit,2,/home/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/013_4194304nnz_1048576rows.64_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:00.63 FAIL smoke [ NROWS=64 XPERCOL=16384 NCOLS=64 ROWSPERPE=16384 NNZ_CAPACITY=1145 MATRIX_NNZ=4194304 MIN_NNZ=885 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
131072rows-.001density.64,/home/maytayl/matrices/cache/131072rows-.001density.64,64,64,131072,131072,4432,,,,,,error,make,nonzero_exit,2,/home/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/014_131072rows-.001density.64_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:00.81 FAIL smoke [ NROWS=64 XPERCOL=2048 NCOLS=64 ROWSPERPE=2048 NNZ_CAPACITY=4432 MATRIX_NNZ=17179869 MIN_NNZ=3954 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
65536rows-.01density.64,/home/maytayl/matrices/cache/1percent_s1.00.64,64,64,65536,65536,10872,,,,,,error,make,nonzero_exit,2,/home/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/015_65536rows-.01density.64_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:00.80 FAIL smoke [ NROWS=64 XPERCOL=1024 NCOLS=64 ROWSPERPE=1024 NNZ_CAPACITY=10872 MATRIX_NNZ=42949673 MIN_NNZ=10097 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
8192rows-.0001density.64,/home/maytayl/matrices/cache/8192rows-.0001density.64,64,64,8192,8192,7,1405.0,968.0,202.0,33.0,True,ok,,,,,
