name,matrix_file,artifact_dir,nperows,npecols,mapping,enabled,NROWS,XPERCOL,NCOLS,ROWSPERPE,NNZ_CAPACITY,MATRIX_NNZ,MIN_NNZ
Chebyshev4.080526.509x510.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/Chebyshev4.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/Chebyshev4.080526.509x510.cyclic,509,510,cyclic,1,509,134,510,134,174,5377761,2
radiation.080526.509x510.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/radiation.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/radiation.080526.509x510.cyclic,509,510,cyclic,1,509,438,510,439,59,7637688,8
com-Youtube.080526.509x510.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/com-Youtube.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/com-Youtube.080526.509x510.cyclic,509,510,cyclic,1,509,2226,510,2230,129,5975248,3
crankseg_1.080526.509x510.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/crankseg_1.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/crankseg_1.080526.509x510.cyclic,509,510,cyclic,1,509,104,510,104,92,10614210,12
kron_g500-logn17.080526.509x510.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/kron_g500-logn17.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/kron_g500-logn17.080526.509x510.cyclic,509,510,cyclic,1,509,258,510,258,170,10228360,0
delaunay_n23.080526.509x510.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/delaunay_n23.npz,/home/maytayl/matrices/cache/delaunay_n23.080526.509x510.cyclic,509,510,cyclic,1,509,16449,510,16481,252,50331568,141
atmosmodl.080526.509x510.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/atmosmodl.npz,/home/maytayl/matrices/cache/atmosmodl.080526.509x510.cyclic,509,510,cyclic,1,509,2922,510,2927,41,10319760,35
Chebyshev4.080526.384x385.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/Chebyshev4.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/Chebyshev4.080526.384x385.cyclic,384,385,cyclic,1,384,177,385,178,217,5377761,16
radiation.080526.384x385.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/radiation.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/radiation.080526.384x385.cyclic,384,385,cyclic,1,384,580,385,581,87,7637688,24
com-Youtube.080526.384x385.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/com-Youtube.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/com-Youtube.080526.384x385.cyclic,384,385,cyclic,1,384,2948,385,2956,194,5975248,11
crankseg_1.080526.384x385.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/crankseg_1.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/crankseg_1.080526.384x385.cyclic,384,385,cyclic,1,384,138,385,138,127,10614210,33
kron_g500-logn17.080526.384x385.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/kron_g500-logn17.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/kron_g500-logn17.080526.384x385.cyclic,384,385,cyclic,1,384,341,385,342,287,10228360,4
delaunay_n23.080526.384x385.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/delaunay_n23.npz,/home/maytayl/matrices/cache/delaunay_n23.080526.384x385.cyclic,384,385,cyclic,1,384,21789,385,21846,416,50331568,271
atmosmodl.080526.384x385.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/atmosmodl.npz,/home/maytayl/matrices/cache/atmosmodl.080526.384x385.cyclic,384,385,cyclic,1,384,3870,385,3880,72,10319760,63
