name,artifact_dir,nrows,ncols,matrix_nrows,nnz_max_capacity,mapping
Chebyshev4.080526.509x510.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/Chebyshev4.080526.509x510.cyclic,509,510,68121,174,cyclic-coprime
radiation.080526.509x510.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/radiation.080526.509x510.cyclic,509,510,223104,59,cyclic-coprime
com-Youtube.080526.509x510.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/com-Youtube.080526.509x510.cyclic,509,510,1134890,129,cyclic-coprime
crankseg_1.080526.509x510.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/crankseg_1.080526.509x510.cyclic,509,510,52804,92,cyclic-coprime
kron_g500-logn17.080526.509x510.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/kron_g500-logn17.080526.509x510.cyclic,509,510,131072,170,cyclic-coprime
delaunay_n23.080526.509x510.cyclic,/home/maytayl/matrices/cache/delaunay_n23.080526.509x510.cyclic,509,510,8388608,252,cyclic-coprime
atmosmodl.080526.509x510.cyclic,/home/maytayl/matrices/cache/atmosmodl.080526.509x510.cyclic,509,510,1489752,41,cyclic-coprime
Chebyshev4.080526.384x385.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/Chebyshev4.080526.384x385.cyclic,384,385,68121,217,cyclic-coprime
radiation.080526.384x385.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/radiation.080526.384x385.cyclic,384,385,223104,87,cyclic-coprime
com-Youtube.080526.384x385.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/com-Youtube.080526.384x385.cyclic,384,385,1134890,194,cyclic-coprime
crankseg_1.080526.384x385.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/crankseg_1.080526.384x385.cyclic,384,385,52804,127,cyclic-coprime
kron_g500-logn17.080526.384x385.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/kron_g500-logn17.080526.384x385.cyclic,384,385,131072,287,cyclic-coprime
delaunay_n23.080526.384x385.cyclic,/home/maytayl/matrices/cache/delaunay_n23.080526.384x385.cyclic,384,385,8388608,416,cyclic-coprime
atmosmodl.080526.384x385.cyclic,/home/maytayl/matrices/cache/atmosmodl.080526.384x385.cyclic,384,385,1489752,72,cyclic-coprime
Chebyshev4.080526.384x384.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/Chebyshev4.080526.384x384.cyclic,384,384,68121,375,cyclic
radiation.080526.384x384.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/radiation.080526.384x384.cyclic,384,384,223104,655,cyclic
com-Youtube.080526.384x384.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/com-Youtube.080526.384x384.cyclic,,,1134890,,cyclic
crankseg_1.080526.384x384.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/crankseg_1.080526.384x384.cyclic,384,384,52804,214,cyclic
kron_g500-logn17.080526.384x384.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/kron_g500-logn17.080526.384x384.cyclic,384,384,131072,227,cyclic
Chebyshev4.080526.384x384.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/Chebyshev4.080526.384x384.random,,,68121,,random
radiation.080526.384x384.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/radiation.080526.384x384.random,,,223104,,random
com-Youtube.080526.384x384.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/com-Youtube.080526.384x384.random,384,384,1134890,174,random
crankseg_1.080526.384x384.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/crankseg_1.080526.384x384.random,384,384,52804,,random
kron_g500-logn17.080526.384x384.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/kron_g500-logn17.080526.384x384.random,384,384,131072,,random
Chebyshev4.080526.256x256.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/Chebyshev4.080526.256x256.cyclic,256,256,68121,573,cyclic
radiation.080526.256x256.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/radiation.080526.256x256.cyclic,256,256,223104,1012,cyclic
com-Youtube.080526.256x256.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/com-Youtube.080526.256x256.cyclic,256,256,1134890,310,cyclic
crankseg_1.080526.256x256.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/crankseg_1.080526.256x256.cyclic,256,256,52804,368,cyclic
kron_g500-logn17.080526.256x256.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/kron_g500-logn17.080526.256x256.cyclic,256,256,131072,423,cyclic
Chebyshev4.073026.512x512.cyclic,/home/maytayl/matrices/cache/Chebyshev4.073026.512x512.cyclic,512,512,68121,281,cyclic
dielFilterV2real.073026.512x512.cyclic,/home/maytayl/matrices/cache/dielFilterV2real.073026.512x512.cyclic,512,512,1157456,2435,cyclic
radiation.073026.512x512.cyclic,/home/maytayl/matrices/cache/radiation.073026.512x512.cyclic,512,512,223104,488,cyclic
com-Youtube.073026.512x512.cyclic,/home/maytayl/matrices/cache/com-Youtube.073026.512x512.cyclic,512,512,1134890,132,cyclic
crankseg_1.073026.512x512.cyclic,/home/maytayl/matrices/cache/crankseg_1.073026.512x512.cyclic,512,512,52804,157,cyclic
kron_g500-logn17.073026.512x512.cyclic,/home/maytayl/matrices/cache/kron_g500-logn17.073026.512x512.cyclic,512,512,131072,157,cyclic
atmosmodl.073026.512x512.cyclic,/home/maytayl/matrices/cache/atmosmodl.073026.512x512.cyclic,512,512,1489752,2910,cyclic
delaunay_n23.073026.512x512.random,/home/maytayl/matrices/delaunay_n23.npz,512,512,512,256,random
Chebyshev4.073026.512x512.cyclic,/home/maytayl/matrices/Chebyshev4.npz,512,512,512,281,cyclic
atmosmodl.073026.512x512.cyclic,/home/maytayl/matrices/atmosmodl.npz,512,512,512,2910,cyclic
dielFilterV2real.073026.512x512.cyclic,/home/maytayl/matrices/dielFilterV2real.npz,512,512,512,2435,cyclic
radiation.073026.512x512.cyclic,/home/maytayl/matrices/radiation.npz,512,512,512,488,cyclic
com-Youtube.073026.512x512.cyclic,/home/maytayl/matrices/com-Youtube.npz,512,512,512,132,cyclic
indochina-2004.073026.512x512.cyclic,/home/maytayl/matrices/indochina-2004.npz,512,512,512,5844,cyclic
crankseg_1.073026.512x512.cyclic,/home/maytayl/matrices/crankseg_1.npz,512,512,512,157,cyclic
kron_g500-logn17.073026.512x512.cyclic,/home/maytayl/matrices/kron_g500-logn17.npz,512,512,512,157,cyclic
Chebyshev4.073026.512x512.blocked,/home/maytayl/matrices/Chebyshev4.npz,512,512,512,1176,blocked
delaunay_n23.073026.512x512.blocked,/home/maytayl/matrices/delaunay_n23.npz,512,512,512,73724,blocked
