name,artifact_dir,nrows,ncols,matrix_nrows,matrix_ncols,nnz_max_capacity,max_time,min_time,max_chain_time,min_chain_time,passed,status,failed_step,error_type,returncode,saved_make_log,cli_tail
Chebyshev4.080526.509x510.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/Chebyshev4.080526.509x510.cyclic,509,510,68121,68121,174,11918.0,7948.0,4210.0,82.0,True,ok,,,,,
radiation.080526.509x510.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/radiation.080526.509x510.cyclic,509,510,223104,223104,59,9711.0,9181.0,1450.0,226.0,True,ok,,,,,
com-Youtube.080526.509x510.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/com-Youtube.080526.509x510.cyclic,509,510,1134890,1134890,129,14721.0,13018.0,3130.0,106.0,True,ok,,,,,
crankseg_1.080526.509x510.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/crankseg_1.080526.509x510.cyclic,509,510,52804,52804,92,9505.0,8337.0,2242.0,322.0,False,error,driver,RuntimeError,,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/004_crankseg_1.080526.509x510.cyclic_make-log,"FAIL: float32 mismatch(es) found idx 36112: got=42.140625000, ref=40.988281250, absdiff=1.152343750"
kron_g500-logn17.080526.509x510.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/kron_g500-logn17.080526.509x510.cyclic,509,510,131072,131072,170,11768.0,8960.0,4114.0,33.0,True,ok,,,,,
delaunay_n23.080526.509x510.cyclic,/home/maytayl/matrices/cache/delaunay_n23.080526.509x510.cyclic,509,510,8388608,8388608,252,,,,,,error,make,nonzero_exit,2,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/006_delaunay_n23.080526.509x510.cyclic_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:00.66 FAIL smoke [ NROWS=509 XPERCOL=16449 NCOLS=510 ROWSPERPE=16481 NNZ_CAPACITY=252 MATRIX_NNZ=50331568 MIN_NNZ=141 ] make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1"
atmosmodl.080526.509x510.cyclic,/home/maytayl/matrices/cache/atmosmodl.080526.509x510.cyclic,509,510,1489752,1489752,41,15106.0,14981.0,1018.0,874.0,False,error,driver,RuntimeError,,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/007_atmosmodl.080526.509x510.cyclic_make-log,"FAIL: float32 mismatch(es) foundidx 43123: got=-0.605468750, ref=-0.617187500, absdiff=0.011718750idx 273370: got=0.875000000, ref=0.855468750, absdiff=0.019531250idx 313489: got=-0.103515625, ref=-0.101562500, absdiff=0.001953125idx 1154771: got=-0.597656250, ref=-0.589843750, absdiff=0.007812500idx 1462229: got=0.035156250, ref=0.039062500, absdiff=0.003906250"
Chebyshev4.080526.384x385.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/Chebyshev4.080526.384x385.cyclic,384,385,68121,68121,217,11192.0,6607.0,5242.0,418.0,True,ok,,,,,
radiation.080526.384x385.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/radiation.080526.384x385.cyclic,384,385,223104,223104,87,8787.0,8233.0,2122.0,610.0,True,ok,,,,,
com-Youtube.080526.384x385.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/com-Youtube.080526.384x385.cyclic,384,385,1134890,1134890,194,15905.0,13475.0,4690.0,298.0,True,ok,,,,,
crankseg_1.080526.384x385.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/crankseg_1.080526.384x385.cyclic,384,385,52804,52804,127,8903.0,7472.0,3082.0,826.0,False,error,driver,RuntimeError,,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/011_crankseg_1.080526.384x385.cyclic_make-log,"FAIL: float32 mismatch(es) foundidx 27204: got=-8.399594307, ref=-8.501953125, absdiff=0.102358818"
kron_g500-logn17.080526.384x385.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/kron_g500-logn17.080526.384x385.cyclic,384,385,131072,131072,287,11508.0,7786.0,6922.0,130.0,True,ok,,,,,
delaunay_n23.080526.384x385.cyclic,/home/maytayl/matrices/cache/delaunay_n23.080526.384x385.cyclic,384,385,8388608,8388608,416,,,,,,error,make,nonzero_exit,2,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/013_delaunay_n23.080526.384x385.cyclic_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:00.64 FAIL smoke [ NROWS=384 XPERCOL=21789 NCOLS=385 ROWSPERPE=21846 NNZ_CAPACITY=416 MATRIX_NNZ=50331568 MIN_NNZ=271 ] make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1"
atmosmodl.080526.384x385.cyclic,/home/maytayl/matrices/cache/atmosmodl.080526.384x385.cyclic,384,385,1489752,1489752,72,16152.0,16028.0,1762.0,1546.0,False,error,driver,RuntimeError,,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/014_atmosmodl.080526.384x385.cyclic_make-log,"FAIL: float32 mismatch(es) foundidx 75753: got=-0.597656250, ref=-0.589843750, absdiff=0.007812500idx 541516: got=0.035156250, ref=0.039062500, absdiff=0.003906250idx 1045097: got=-0.986328125, ref=-0.972656250, absdiff=0.013671875idx 1144843: got=0.695312500, ref=0.705078125, absdiff=0.009765625idx 1432135: got=-1.511718750, ref=-1.527343750, absdiff=0.015625000"
