name,matrix_file,artifact_dir,NROWS,NCOLS,mapping,enabled,XPERCOL,ROWSPERPE,MAX_NNZ,MIN_NNZ,matrix_nrows,matrix_ncols,nnz,category,valid
atmosmodl.073026.256x256.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/atmosmodl.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/atmosmodl.073026.256x256.blocked,256,256,blocked,0,5820,5820,28644,0,1489752,1489752,10319760,Computational Fluid Dynamics Problem,0
atmosmodl.073026.256x256.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/atmosmodl.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/atmosmodl.073026.256x256.cyclic,256,255,cyclic,1,5843,5820,160,154,1489752,1489752,10319760,Computational Fluid Dynamics Problem,1
atmosmodl.073026.256x256.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/atmosmodl.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/atmosmodl.073026.256x256.random,256,256,random,0,5820,5820,6007,91,1489752,1489752,10319760,Computational Fluid Dynamics Problem,1
atmosmodl.073026.384x384.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/atmosmodl.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/atmosmodl.073026.384x384.blocked,384,384,blocked,0,3880,3880,18964,0,1489752,1489752,10319760,Computational Fluid Dynamics Problem,0
atmosmodl.073026.384x384.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/atmosmodl.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/atmosmodl.073026.384x384.cyclic,384,383,cyclic,1,3890,3880,73,67,1489752,1489752,10319760,Computational Fluid Dynamics Problem,1
atmosmodl.073026.384x384.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/atmosmodl.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/atmosmodl.073026.384x384.random,384,384,random,0,3880,3880,3974,28,1489752,1489752,10319760,Computational Fluid Dynamics Problem,1
atmosmodl.073026.512x512.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/atmosmodl.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/atmosmodl.073026.512x512.cyclic,512,511,cyclic,1,2916,2910,41,36,1489752,1489752,10319760,Computational Fluid Dynamics Problem,1
atmosmodl.073026.512x512.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/atmosmodl.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/atmosmodl.073026.512x512.random,512,512,random,0,2910,2910,2972,12,1489752,1489752,10319760,Computational Fluid Dynamics Problem,1
atmosmodl.073026.512x512.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/atmosmodl.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/atmosmodl.073026.512x512.blocked,512,512,blocked,0,2910,2910,14124,0,1489752,1489752,10319760,Computational Fluid Dynamics Problem,0
Chebyshev4.073026.256x256.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/Chebyshev4.npz,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/Chebyshev4.073026.256x256.blocked,256,256,blocked,0,267,267,3447,0,68121,68121,5377761,Structural Problem,1
