name,artifact_dir,nrows,ncols,matrix_nrows,matrix_ncols,nnz_max_capacity,max_time,min_time,max_chain_time,min_chain_time,format,passed,status,failed_step,error_type,returncode,saved_make_log
atmosmodl.073026.256x256.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/atmosmodl.073026.256x256.cyclic,256,255,1489752,1489752,160,,,,,,,error,make,nonzero_exit,2,/home/maytayl/wse-spmv/ss-eval/saved_make_logs/002_atmosmodl.073026.256x256.cyclic_make-log
atmosmodl.073026.384x384.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/atmosmodl.073026.384x384.cyclic,384,383,1489752,1489752,73,16169.0,16047.0,1786.0,1642.0,,False,error,driver,RuntimeError,,/home/maytayl/wse-spmv/ss-eval/saved_make_logs/005_atmosmodl.073026.384x384.cyclic_make-log
atmosmodl.073026.512x512.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/atmosmodl.073026.512x512.cyclic,512,511,1489752,1489752,41,15093.0,15006.0,1018.0,898.0,,False,error,driver,RuntimeError,,/home/maytayl/wse-spmv/ss-eval/saved_make_logs/007_atmosmodl.073026.512x512.cyclic_make-log
crankseg_1.073026.384x384.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/crankseg_1.073026.384x384.cyclic,384,383,52804,52804,119,8795.0,7409.0,2890.0,922.0,,False,error,driver,RuntimeError,,/home/maytayl/wse-spmv/ss-eval/saved_make_logs/032_crankseg_1.073026.384x384.cyclic_make-log
crankseg_1.073026.512x512.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/crankseg_1.073026.512x512.cyclic,512,511,52804,52804,89,9761.0,8412.0,2170.0,370.0,,False,error,driver,RuntimeError,,/home/maytayl/wse-spmv/ss-eval/saved_make_logs/035_crankseg_1.073026.512x512.cyclic_make-log
dielFilterV2real.073026.256x256.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/dielFilterV2real.073026.256x256.cyclic,256,255,1157456,1157456,867,34239.0,32211.0,124638049104220.0,124638049104220.0,,False,error,driver,RuntimeError,,/home/maytayl/wse-spmv/ss-eval/saved_make_logs/047_dielFilterV2real.073026.256x256.cyclic_make-log
dielFilterV2real.073026.384x384.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/dielFilterV2real.073026.384x384.cyclic,384,383,1157456,1157456,407,21942.0,20507.0,9802.0,6010.0,,False,error,driver,RuntimeError,,/home/maytayl/wse-spmv/ss-eval/saved_make_logs/050_dielFilterV2real.073026.384x384.cyclic_make-log
atmosmodl.073026.256x256.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/atmosmodl.073026.256x256.cyclic,256,255,1489752,1489752,160,,,,,row,,error,make,nonzero_exit,2,/home/maytayl/wse-spmv/ss-eval/saved_make_logs/002_atmosmodl.073026.256x256.cyclic_make-log
atmosmodl.073026.384x384.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/atmosmodl.073026.384x384.cyclic,384,383,1489752,1489752,73,85921.0,85805.0,71555.0,71399.0,row,False,error,driver,RuntimeError,,/home/maytayl/wse-spmv/ss-eval/saved_make_logs/005_atmosmodl.073026.384x384.cyclic_make-log
atmosmodl.073026.512x512.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/atmosmodl.073026.512x512.cyclic,512,511,1489752,1489752,41,67433.0,67334.0,53358.0,53225.0,row,False,error,driver,RuntimeError,,/home/maytayl/wse-spmv/ss-eval/saved_make_logs/007_atmosmodl.073026.512x512.cyclic_make-log
crankseg_1.073026.384x384.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/crankseg_1.073026.384x384.cyclic,384,383,52804,52804,119,10898.0,9686.0,5258.0,3354.0,row,False,error,driver,RuntimeError,,/home/maytayl/wse-spmv/ss-eval/saved_make_logs/032_crankseg_1.073026.384x384.cyclic_make-log
