name,matrix_file,artifact_dir,nperows,npecols,mapping,enabled,NROWS,XPERCOL,NCOLS,ROWSPERPE,NNZ_CAPACITY,MATRIX_NNZ,MIN_NNZ,pass_7800_nnz_capacity
delaunay_n23.073026.512x512.random,/home/maytayl/matrices/delaunay_n23.npz,/home/maytayl/matrices/cache/delaunay_n23.073026.512x512.random,512,512,random,0,512,16384,512,16384,256,50331568,134,1
Chebyshev4.073026.512x512.cyclic,/home/maytayl/matrices/Chebyshev4.npz,/home/maytayl/matrices/cache/Chebyshev4.073026.512x512.cyclic,512,512,cyclic,1,512,134,512,134,281,5377761,2,1
atmosmodl.073026.512x512.cyclic,/home/maytayl/matrices/atmosmodl.npz,/home/maytayl/matrices/cache/atmosmodl.073026.512x512.cyclic,512,512,cyclic,1,512,2910,512,2910,2910,10319760,0,1
dielFilterV2real.073026.512x512.cyclic,/home/maytayl/matrices/dielFilterV2real.npz,/home/maytayl/matrices/cache/dielFilterV2real.073026.512x512.cyclic,512,512,cyclic,1,512,2261,512,2261,2435,48538952,90,1
radiation.073026.512x512.cyclic,/home/maytayl/matrices/radiation.npz,/home/maytayl/matrices/cache/radiation.073026.512x512.cyclic,512,512,cyclic,1,512,436,512,436,488,7637688,3,1
com-Youtube.073026.512x512.cyclic,/home/maytayl/matrices/com-Youtube.npz,/home/maytayl/matrices/cache/com-Youtube.073026.512x512.cyclic,512,512,cyclic,1,512,2217,512,2217,132,5975248,2,1
indochina-2004.073026.512x512.cyclic,/home/maytayl/matrices/indochina-2004.npz,/home/maytayl/matrices/cache/indochina-2004.073026.512x512.cyclic,512,512,cyclic,0,512,14483,512,14483,5844,194109311,400,1
crankseg_1.073026.512x512.cyclic,/home/maytayl/matrices/crankseg_1.npz,/home/maytayl/matrices/cache/crankseg_1.073026.512x512.cyclic,512,512,cyclic,1,512,104,512,104,157,10614210,14,1
kron_g500-logn17.073026.512x512.cyclic,/home/maytayl/matrices/kron_g500-logn17.npz,/home/maytayl/matrices/cache/kron_g500-logn17.073026.512x512.cyclic,512,512,cyclic,1,512,256,512,256,157,10228360,2,1
Chebyshev4.073026.512x512.blocked,/home/maytayl/matrices/Chebyshev4.npz,/home/maytayl/matrices/cache/Chebyshev4.073026.512x512.blocked,512,512,blocked,0,512,134,512,134,1176,5377761,0,1
delaunay_n23.073026.512x512.blocked,/home/maytayl/matrices/delaunay_n23.npz,/home/maytayl/matrices/cache/delaunay_n23.073026.512x512.blocked,512,512,blocked,0,512,16384,512,16384,73724,50331568,0,0
mawi_201512020030.073026.512x512.blocked,/home/maytayl/matrices/mawi_201512020030.npz,/home/maytayl/matrices/cache/mawi_201512020030.073026.512x512.blocked,512,512,blocked,0,512,134499,512,134499,142902,143414960,0,0
atmosmodl.073026.512x512.blocked,/home/maytayl/matrices/atmosmodl.npz,/home/maytayl/matrices/cache/atmosmodl.073026.512x512.blocked,512,512,blocked,0,512,2910,512,2910,14124,10319760,0,0
dielFilterV2real.073026.512x512.blocked,/home/maytayl/matrices/dielFilterV2real.npz,/home/maytayl/matrices/cache/dielFilterV2real.073026.512x512.blocked,512,512,blocked,0,512,2261,512,2261,55902,48538952,0,0
radiation.073026.512x512.blocked,/home/maytayl/matrices/radiation.npz,/home/maytayl/matrices/cache/radiation.073026.512x512.blocked,512,512,blocked,0,512,436,512,436,2830,7637688,0,1
com-Youtube.073026.512x512.blocked,/home/maytayl/matrices/com-Youtube.npz,/home/maytayl/matrices/cache/com-Youtube.073026.512x512.blocked,512,512,blocked,0,512,2217,512,2217,37714,5975248,0,0
indochina-2004.073026.512x512.blocked,/home/maytayl/matrices/indochina-2004.npz,/home/maytayl/matrices/cache/indochina-2004.073026.512x512.blocked,512,512,blocked,0,512,14483,512,14483,48278113,194109311,0,0
stokes.073026.512x512.blocked,/home/maytayl/matrices/stokes.npz,/home/maytayl/matrices/cache/stokes.073026.512x512.blocked,512,512,blocked,0,512,22363,512,22363,572544,349321980,0,0
crankseg_1.073026.512x512.blocked,/home/maytayl/matrices/crankseg_1.npz,/home/maytayl/matrices/cache/crankseg_1.073026.512x512.blocked,512,512,blocked,0,512,104,512,104,6205,10614210,0,1
kron_g500-logn17.073026.512x512.blocked,/home/maytayl/matrices/kron_g500-logn17.npz,/home/maytayl/matrices/cache/kron_g500-logn17.073026.512x512.blocked,512,512,blocked,0,512,256,512,256,207,10228360,1,1
twitter7.073026.512x512.blocked,/home/maytayl/matrices/twitter7.npz,/home/maytayl/matrices/cache/twitter7.073026.512x512.blocked,512,512,blocked,0,512,81353,512,81353,1653636,1468365182,52,0
Chebyshev4.073026.512x512.random,/home/maytayl/matrices/Chebyshev4.npz,/home/maytayl/matrices/cache/Chebyshev4.073026.512x512.random,512,512,random,0,512,134,512,134,286,5377761,0,1
mawi_201512020030.073026.512x512.random,/home/maytayl/matrices/mawi_201512020030.npz,mawi_201512020030.073026.512x512.random,512,512,random,0,512,134499,512,134499,246240,143414960,10,0
atmosmodl.073026.512x512.random,/home/maytayl/matrices/atmosmodl.npz,/home/maytayl/matrices/cache/atmosmodl.073026.512x512.random,512,512,random,0,512,2910,512,2910,2972,10319760,12,1
dielFilterV2real.073026.512x512.random,/home/maytayl/matrices/dielFilterV2real.npz,/home/maytayl/matrices/cache/dielFilterV2real.073026.512x512.random,512,512,random,0,512,2261,512,2261,2501,48538952,124,1
com-Youtube.073026.512x512.random,/home/maytayl/matrices/com-Youtube.npz,/home/maytayl/matrices/cache/com-Youtube.073026.512x512.random,512,512,random,0,512,2217,512,2217,134,5975248,1,1
indochina-2004.073026.512x512.random,/home/maytayl/matrices/indochina-2004.npz,/home/maytayl/matrices/cache/indochina-2004.073026.512x512.random,512,512,random,0,512,14483,512,14483,6229,194109311,401,1
stokes.073026.512x512.random,/home/maytayl/matrices/stokes.npz,/home/maytayl/matrices/cache/stokes.073026.512x512.random,512,512,random,0,512,22363,512,22363,23807,349321980,1095,0
crankseg_1.073026.512x512.random,/home/maytayl/matrices/crankseg_1.npz,/home/maytayl/matrices/cache/crankseg_1.073026.512x512.random,512,512,random,0,512,104,512,104,179,10614210,14,1
kron_g500-logn17.073026.512x512.random,/home/maytayl/matrices/kron_g500-logn17.npz,/home/maytayl/matrices/cache/kron_g500-logn17.073026.512x512.random,512,512,random,0,512,256,512,256,174,10228360,2,1
twitter7.073026.512x512.random,/home/maytayl/matrices/twitter7.npz,/home/maytayl/matrices/cache/twitter7.073026.512x512.random,512,512,random,0,512,81353,512,81353,15383,1468365182,3694,0
delaunay_n23.073026.512x512.cyclic,/home/maytayl/matrices/delaunay_n23.npz,/home/maytayl/matrices/cache/delaunay_n23.073026.512x512.cyclic,512,512,cyclic,0,512,16384,512,16384,16553,50331568,0,0
mawi_201512020030.073026.512x512.cyclic,/home/maytayl/matrices/mawi_201512020030.npz,mawi_201512020030.073026.512x512.cyclic,512,512,cyclic,0,512,134499,512,134499,246406,143414960,9,0
stokes.073026.512x512.cyclic,/home/maytayl/matrices/stokes.npz,/home/maytayl/matrices/cache/stokes.073026.512x512.cyclic,512,512,cyclic,0,512,22363,512,22363,33535,349321980,162,0
twitter7.073026.512x512.cyclic,/home/maytayl/matrices/twitter7.npz,/home/maytayl/matrices/cache/twitter7.073026.512x512.cyclic,512,512,cyclic,0,512,81353,512,81353,13437,1468365182,3643,0
